,买家,评价内容,图片,时间,客服回复,商品抬头,价格,追加评论,追加评论时间
0,陈玉飞2013,质量很好，爸妈使用很满意，物流很快！快递员服务态度很好！,[],[2019-08-20 15:50:42],,【来电价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,谁借我一个名字,此用户没有填写评价。,[],[2019-08-20 15:26:34],,【来电价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,李大妞要甩肉,此用户没有填写评价。,[],[2019-08-20 13:29:37],,【来电价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,试试网上购物1,收到，物流服务快，工作态度好，安装完好，全五分。,[],[2019-08-20 13:28:15],,【来电价】KGC/卡杰诗K3按摩椅家用全自动太空舱全身揉捏多功能电动老人沙发,12000.0,,
0,牛岚淇,此用户没有填写评价。,[],[2019-08-20 13:07:05],,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,霜月雪樱,此用户没有填写评价。,[],[2019-08-20 11:47:46],,【来电价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,蝶恋梦镜,物流非常速度的送来的，当天还有小插曲，按摩椅进不了门客服很好的解决了这个问题，感谢安装师傅急匆匆赶到我家给卸了扶手让按摩椅进入我家，试了按的挺舒服的，肩按完感觉就轻松很多，棒棒的,[],[2019-08-19 18:46:34],[解释] 每一次服务都如同与你的一场旅行，路上有惊喜、有坎坷、有感动，因为诚挚与信任，我们相伴同行，刻画出了最美的回忆。未来的路途KGC将依旧伴你左右，坚持创造健康产品，持续专业温馨的服务。另外，亲选购的这款按摩器功能强大，受到广大顾客的认可，自动检测体形，SL导轨不仅可以行走按摩，也可以选择定点按摩，模式丰富专业，可以舒缓全身疲劳并放松身心，欢迎亲多多分享使用感受，帮助我们为你更高的服务。,【来电价】KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,猪兔子bibi,按摩椅不错，客服糖糖服务很好！,[],[2019-08-19 17:18:18],[解释] 最好的爱，是虔诚与信任的结合。感谢各位天使给予我们的温暖与信任，对于KGC而言，这是推进我们成长的动力。感谢亲的光临，亲的满意，就是我们最大的欣慰。我们将竭尽全力为您服务！,【88狂欢价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,大世界小买卖,此用户没有填写评价。,[],[2019-08-19 16:44:24],,【来电价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,大世界小买卖,此用户没有填写评价。,[],[2019-08-19 16:44:10],,【来电价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,24小时宫,此用户没有填写评价。,[],[2019-08-19 16:41:43],,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,tb5208700,不占地方 声音不大 做工也很细致 按摩力道对于我来说可以 客服好 目前很满意,"[""https://img.alicdn.com/imgextra/i4/0/O1CN01qBnukB1VIaCqMemqV_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i2/0/O1CN01X25d5v1VIaCt4XfgU_!!0-rate.jpg_400x400.jpg""]",[2019-08-19 14:25:48],[解释] 亲简简单单的几个字，不仅代表满满的信任，也是KGC的专属回忆，是别人拿不走、擦不掉的成就感。我们喜欢您轻敲键盘蹦出的所有字眼。知己难觅，感谢您的选择与信任。我们会继续努力，竭尽全力为您服务！欢迎亲的支持和监督哦~,KGC/卡杰诗休闲迷你智能按摩椅家用新款小型全自动电动按摩沙发椅,19800.0,,
0,xxwoxx,物有所值，性价比高，服务态度也很好?,"[""https://img.alicdn.com/imgextra/i4/0/O1CN01zkdzMa2MP9WTg8Cjg_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i1/0/O1CN01sCaOdo2MP9WWUuG91_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i3/0/O1CN01omoaEP2MP9WXRrbIL_!!0-rate.jpg_400x400.jpg""]",[2019-08-19 11:36:34],[解释] 距的太远，离的太久，都不是距离，陌生的心才是最远的。人生最长久的拥有，不是珍视一阵子，而是珍惜一辈子。看到亲们得到满意的购物体验，使我们动力满满。感谢亲对KGC的信任与厚爱，产品使用过程中如有任何问题欢迎随时咨询，我们将竭诚为您提供专业、用心的服务~ 祝您生活愉快。,KGC/卡杰诗星月电动按摩椅家用全自动全身揉捏太空舱多功能沙发椅,52800.0,,
0,tb57457821,宝贝已收到，使用了两次，感觉不错，给五星评价。有一处不满意，控制器好像没留插放位置。另记得购买时赠一眼镜没看到。,[],[2019-08-18 22:36:28],[解释] 按摩椅和赠品不在同一个仓库，亲爱的赠品单独为您安排的哈，非常感谢您的建议，我们KGC会继续研发哈~距的太远，离的太久，都不是距离，陌生的心才是最远的。人生最长久的拥有，不是珍视一阵子，而是珍惜一辈子。看到亲们得到满意的购物体验，使我们动力满满。感谢亲对KGC的信任与厚爱，产品使用过程中如有任何问题欢迎随时咨询，我们将竭诚为您提供专业、用心的服务~ 祝您生活愉快。,【88狂欢价】KGC/卡杰诗星月按摩椅家用全自动全身揉捏太空舱多功能电动沙发椅,52800.0,,
0,tb4883432,现在哪哪不舒服，不用别人帮忙了。使用了一下，力度刚好,[],[2019-08-18 22:06:49],[解释] 风吹起如花般破碎的流年，而亲的笑容摇晃摇晃，成为KGC命途中最美的点缀。知己难觅，感恩您的一个转身与我相遇。我们会继续努力，竭尽全力为您服务！欢迎亲的支持和监督哦~,【来电价】KGC/卡杰诗肩颈敲打按摩披肩肩膀捶背家用全身按摩器,588.0,,
0,秦永顺,此用户没有填写评价。,"[""https://img.alicdn.com/imgextra/i2/0/O1CN0152ibHb2HoHAepyzzl_!!0-rate.jpg_400x400.jpg"", ""https://img.alicdn.com/imgextra/i1/0/O1CN01hhsW1s2HoHAeq04Vz_!!0-rate.jpg_400x400.jpg""]",[2019-08-18 20:01:21],[解释] 每一个相约，每一次对话，每一秒等待，每一笔寄托，你我都会走的更近一步。人生最长久的拥有，不是珍视一阵子，而是珍惜一辈子。看到亲们得到满意的购物体验，使我们动力满满。感谢您对KGC的信任与厚爱，产品使用过程中如有任何问题欢迎随时咨询，我们将竭诚为亲提供专业、用心的服务~ 祝您生活愉快。,【来电价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,[追加评论] 网上看了很久品牌，最后选择了卡杰诗！物流快没让我失望！试了一会。各方面都可以！客服诗诗夏夏热情??！支持好卖家！,[确认收货后 0 天追加评论]
0,kevinwang1983,做工好，坐的舒服。,[],[2019-08-18 15:17:04],[解释] 每一个相约，每一次对话，每一秒等待，每一笔寄托，你我都会走的更近一步。人生最长久的拥有，不是珍视一阵子，而是珍惜一辈子。看到亲们得到满意的购物体验，使我们动力满满。感谢您对KGC的信任与厚爱，产品使用过程中如有任何问题欢迎随时咨询，我们将竭诚为亲提供专业、用心的服务~ 祝您生活愉快。,【来电价】KGC/卡杰诗智能豪华电动按摩椅全自动全身太空舱零重力家用沙发椅,79800.0,,
0,freeiour,不错。,[],[2019-08-18 13:32:43],[解释] 风吹起如花般破碎的流年，而亲的笑容摇晃摇晃，成为KGC命途中最美的点缀。知己难觅，感恩您的一个转身与我相遇。我们会继续努力，竭尽全力为您服务！欢迎亲的支持和监督哦~,【来电价】KGC/卡杰诗肩颈敲打按摩披肩肩膀捶背家用全身按摩器,588.0,,
0,驰骋疆场031220,此用户没有填写评价。,[],[2019-08-18 01:51:16],,KGC/卡杰诗按摩椅专用防尘套-大号,99.0,,
